Operator/Building,Zones in Building,Client's IP
/TISH/1230,92,1066
/INDS/PAS2,80,536
/INDS/WC,79,637
/INDS/PCM,71,561
/INDS/WM,70,805
/INDS/DEM,69,618
/INDS/DART,69,575
/INDS/LA3,68,654
/HUGO/KEAR,64,938
/INDS/NPB,64,545
/INDS/SAN2,63,556
/INDS/FSQ,63,472
/INDS/6060,61,513
/INDS/GLEN,61,504
/EXEC/HIP,60,286
/INDS/STP,58,545
/UNI/BUF,58,191
/INDS/909,57,551
/INDS/NYC,56,801
/INDS/HY,56,582
/INDS/PLA,56,521
/INDS/LAS,55,754
/INDS/ABER,55,718
/INDS/TOR,55,492
/FOUR/LAND,53,483
/INDS/BEL,52,847
/INDS/TAM2,52,471
/INDS/TAM3,52,360
/INDS/TEM,51,445
/CARR/1455,48,518
/INDS/COL2,48,419
/INDS/DIV,48,395
/INDS/CARM,47,573
/INDS/BET,47,378
/INDS/KC,46,523
/INDS/AUS,46,242
/INDS/1PP,45,1529
/INDS/323,45,743
/INDS/PHI2,45,466
/INDS/MIA5,45,434
/INDS/BOULD,45,418
/INDS/NYC5,45,391
/INDS/BK,45,223
/TISH/VAR,44,606
/INDS/MIA,44,520
/MAY/WAU,44,485
/INDS/BK2,44,386
/INDS/MAN,43,576
/INDS/PHX2,43,529
/VX/DEN2,43,429
/ES/MS,42,3414
/TISH/BEV,42,240
/INDS/BCK,42,238
/CC/PLA,41,1983
/INDS/ARL2,41,431
/CARR/DIA,41,320
/INDS/NYC7,40,465
/SER/KAN,40,453
/INDS/CHAR,40,405
/INDS/HOU2,39,703
/INDS/SD,39,456
/INDS/HUD,39,403
/VX/OAK,39,362
/INDS/BLS,39,280
/JLL/RES,39,206
/INDS/DC2,38,439
/INDS/SFL,38,346
/INDS/2033,38,298
/INDS/DED,38,292
/FUSE/PRO,38,150
/INDS/PIT2,37,464
/INDS/IRV,37,442
/JLL/CHES,37,387
/INDS/PAS,37,384
/SER/WSP,37,353
/INDS/DC3,37,312
/INDS/SC,37,190
/INDS/BOST,36,370
/INDS/DC,36,183
/TISH/42,35,800
/INDS/135,35,787
/INDS/IRV2,35,383
/INDS/NYC8,34,426
/INDS/DFM,34,351
/INDS/1801,34,311
/INDS/101,34,188
/CARR/LAS,33,506
/CARR/MAM,33,304
/INDS/ROSE,33,272
/TISH/AQWA,32,903
/INDS/1722,32,155
/LAU/DC2,31,2489
/INDS/AUS2,31,433
/CARR/300,31,262
/CC/NCE,31,242
/INDS/MIA4,31,231
/INDS/PHI,31,198
/INDS/PHI3,30,355
/PREM/IRV,30,307
/INDS/BOST4,30,295
/CARR/4800,30,237
/CARR/WIS,30,166
/TISH/300,29,387
/VX/ARL,29,238
/INDS/PAL,28,570
/INDS/1411,28,569
/INDS/ARL,28,526
/INDS/NYC4,28,501
/INDS/233,28,475
/INDS/TYS,28,382
/SER/MAR,28,376
/INDS/SH,27,546
/TISH/BOS,27,528
/VX/BETH,27,287
/INDS/NSH,27,264
/FUSE/HOU,27,223
/INDS/WPB,27,202
/INDS/NYC6,26,460
/TISH/CHI,26,389
/INDS/CH,26,367
/INDS/SLC2,26,270
/CARR/LIB,26,263
/HINE/HOU2,26,169
/OLI/CAR,26,145
/INDS/CM,25,357
/INDS/2311,25,307
/SCC/350,25,268
/INDS/RAL2,25,246
/SER/MAD,25,235
/INDS/AUS3,24,442
/SYW/PB,24,324
/VX/DEN,24,304
/INDS/CHI2,24,257
/INDS/POR,24,256
/INDS/LA1,24,230
/INDS/NYC3,24,222
/SYW/HQ,24,174
/INDS/STY,24,171
/INDS/LA5,24,130
/CARR/3033,24,113
/JLL/DIS,24,105
/TW/VB,24,81
/INDS/JC,23,352
/SER/MEM,23,272
/CARR/745,23,258
/INDS/CLAY,23,213
/CARR/TYS,23,193
/CARR/ELW,23,161
/NYCOS/AA,23,92
/TISH/333,22,433
/CARR/ER,22,185
/INDS/SAN,22,185
/YO/CH,22,94
/SER/ORL,22,60
/KILN/PC,21,2377
/SER/MCK,21,303
/CARR/KST,21,284
/HINE/HOU,21,223
/TISH/DC,21,214
/THR/CH,21,180
/SER/CLA,21,125
/JLL/15,21,106
/INDS/PHX,20,426
/SER/WP,20,324
/CC/FW,20,295
/INDS/CHI3,20,286
/LAU/CP,20,197
/INDS/SEA,20,184
/INDS/MIN1,20,149
/FUSE/AUS,20,136
/SER/DEN2,20,102
/INDS/PORT2,19,235
/INDS/DC7,19,225
/SER/MNT,19,153
/INDS/CAM,19,129
/TISH/5TH,19,82
/SER/ROCH,18,791
/JLL/LIC,18,470
/TISH/595,18,272
/DD/ML,18,163
/INDS/IND,18,156
/TISH/CON,17,481
/VX/SA,17,166
/VX/HOLY,17,160
/TISH/CS,17,138
/EOO/AVI,17,134
/CC/DAL,17,113
/SER/RID,16,699
/SER/BUF2,16,333
/INDS/SAN3,16,237
/CARR/EMB,16,232
/SER/ATL,16,210
/COVE/AL,16,150
/HELIX/295,16,111
/JLL/SEA,15,194
/JLL/CRYS,15,171
/DD/WB,15,167
/CARR/1701,15,107
/LAU/MD1,15,90
/JLL/NSH,14,557
/SER/ATL3,14,213
/INDS/BOST3,14,123
/MC/HOU,14,71
/CARR/1325,14,60
/CARR/1050,14,57
/INDS/DC4,13,222
/JLL/CHI,13,218
/CARR/SFL,13,124
/DCW/GST,13,60
/NYCOS/420,13,52
/INDS/DC9,12,180
/BES/SL,12,89
/ADVAN/CC,12,64
/DP/PL,12,23
/ARP/VAN,11,1088
/INDS/ATM,11,92
/INDS/32,10,805
/INDS/6601,10,398
/JLL/TYS,10,92
/CARR/IND,10,71
/BES/HOU,10,59
/DCW/FAR,10,40
/ADVAN/LST,10,32
/INDS/152,9,300
/CARR/CTA,9,187
/INDS/BET2,9,101
/SYW/MAD,9,66
/ENT/5500,9,37
/LAU/MD2,9,27
/WB/CH,8,1564
/SER/LA1,8,223
/ALAW/IND,8,49
/LAU/ET,8,45
/LV/CG,8,41
/NYCOS/733,8,36
/SCC/CM,7,130
/VARI/SL,7,44
/ENT/300,7,40
/HELIX/535,7,32
/DD/CH,7,19
/ES/SM,6,530
/INDS/6701,6,419
/OPT/AL,6,33
/IQ/TOR,6,31
/GWC/SA,6,29
/DCW/GT,6,14
/TISH/1270,5,319
/INDS/DC6,5,138
/SER/NYC2,5,83
/WAG/BX,5,38
/LAU/DC1,5,20
/NEXUS/1201,5,20
/SCC/CHI,4,781
/INDS/1PPC,4,262
/INDS/TOR2,4,129
/DCW/RON,4,106
/INDS/SEA2,4,91
/LW/717,4,78
/TISH/45R,4,65
/SER/DUB,4,51
/VARI/COP,4,27
/ARG/NYC,4,24
/BLEND/NYC,4,15
/IQ/MON,4,14
/INDS/TAM,4,8
/INDS/ORL,4,5
/CBRE/PAL,3,1012
/INST/SM,3,668
/MILL/BOS,3,332
/SAGE/NY,3,132
/BR/WE,3,75
/TISH/525WM,3,57
/INDS/MIA3,3,28
/CARR/LN,3,16
/TISH/1R,3,16
/INDS/RAL,3,13
/CARR/POS,3,12
/INDS/CP,3,5
/TISH/WIL,2,16
/BR/IRV,2,9
/INDS/350,2,8
/SER/NYC,2,8
/INDS/3424,2,4
/BR/RES,1,255
/LAU/VIR,1,20
/BR/DUP,1,15
/BR/LEN,1,8
/SCC/999,1,8
/SCC/SEA,1,8
/SER/CT,1,8
/INDS/BOST2,1,4
/SCC/1420,1,4
/SER/ATL2,1,4
/SER/HOU,1,4
/SER/NSH,1,4
/INDS/ATL4,1,1
/SER/80T,1,1
/VX/DC,1,1